SMILES,cat_1_id,cat_2_id
CNc1cc(=O)n(C)c(=O)n1Cc1ccc(OC)c(c1)[N+]([O-])=O,13258,13258
COc1ccc(Cn2c(NCCO)cc(=O)n(C)c2=O)cc1Cl,13260,13260
COc1ccc(Cn2c(NCCO)cc(=O)n(C)c2=O)cc1Br,13262,13262
COc1ccc(Cn2c(NCCO)cc(=O)n(C)c2=O)cc1[N+]([O-])=O,13264,13264
Cc1cc2c(C=NNc3ccccc3)nc(nc2o1)-c1ccccc1,13266,13266
Cc1cc2c(\C=N\Nc3ccc(cc3)C(O)=O)nc(nc2o1)-c1ccccc1,13268,13268
Cc1cc2c(C=Nc3ccccc3)nc(nc2o1)-c1ccccc1,13270,13270
Cc1cc2c(C=Nc3ccc(C)cc3)nc(nc2o1)-c1ccccc1,13272,13272
COc1ccc(cc1)\N=C\c1nc(nc2oc(C)cc12)-c1ccccc1,13274,13274
Cc1cc2c(C=Nc3ccc(Br)cc3)nc(nc2o1)-c1ccccc1,13276,13276
Cc1cc2c(\C=N\c3ccc(cc3)[N+]([O-])=O)nc(nc2o1)-c1ccccc1,13278,13278
CC(=O)c1ccc(cc1)\N=C\c1nc(nc2oc(C)cc12)-c1ccccc1,13280,13280
Cc1cc2c(\C=N\c3ccc(cc3)C(O)=O)nc(nc2o1)-c1ccccc1,13282,13282
CCOC(=O)c1ccc(cc1)\N=C\c1nc(nc2oc(C)cc12)-c1ccccc1,13284,13284
Cc1cc2c(C)nc(NCCO)nc2o1,13286,13286
Cc1cc2c(C)nc(NCC(O)=O)nc2o1,13288,13288
Cc1cc2c(C)nc(Nc3ccccc3)nc2o1,13290,13290
Cc1cc2c(C)nc(Nc3ccc(C)cc3)nc2o1,13292,13292
COc1ccc(Nc2nc(C)c3cc(C)oc3n2)cc1,13294,13294
Cc1cc2c(C)nc(Nc3ccc(O)cc3)nc2o1,13296,13296
Cc1cc2c(C)nc(Nc3ccc(Br)cc3)nc2o1,13298,13298
Cc1cc2c(C)nc(Nc3ccc(Cl)cc3)nc2o1,13300,13300
Cc1cc2c(C)nc(Nc3ccc(cc3)[N+]([O-])=O)nc2o1,13302,13302
CC(=O)c1ccc(Nc2nc(C)c3cc(C)oc3n2)cc1,13304,13304
Cc1cc2c(C)nc(Nc3ccc(cc3)C(O)=O)nc2o1,13306,13306
CCOC(=O)c1ccc(Nc2nc(C)c3cc(C)oc3n2)cc1,13308,13308
Cc1cc2c(C)nc(NN=Cc3ccccc3)nc2o1,13310,13310
Cc1cc2c(C)nc(NN=Cc3ccc(O)cc3)nc2o1,13312,13312
COc1ccc(C=NNc2nc(C)c3cc(C)oc3n2)cc1,13314,13314
CN(C)c1ccc(C=NNc2nc(C)c3cc(C)oc3n2)cc1,13316,13316
Cc1cc2c(C)nc(NN=Cc3ccco3)nc2o1,13318,13318
Cc1cc2c(C)nc(NN=Cc3ccncc3)nc2o1,13320,13320
Cc1cc2c(C)nc(NN=Cc3cccnc3)nc2o1,13322,13322
CC(=NNc1nc(C)c2cc(C)oc2n1)c1ccccc1,13324,13324
CC(=NNc1nc(C)c2cc(C)oc2n1)c1ccc(Cl)cc1,13326,13326
CC(=NNc1nc(C)c2cc(C)oc2n1)c1ccc(Br)cc1,13328,13328
COc1ccc(cc1)C(C)=NNc1nc(C)c2cc(C)oc2n1,13330,13330
C\C(=N\Nc1nc(C)c2cc(C)oc2n1)c1ccc(cc1)[N+]([O-])=O,13332,13332
CC(=NNc1nc(C)c2cc(C)oc2n1)c1ccc(N)cc1,13334,13334
Cc1nc([nH]c(=O)c1Cc1ccccc1)-c1ccccc1,13336,13336
COc1nc(N)nc(C)c1[N+]([O-])=O,13338,13338
CCOc1nc(N)nc(C)c1[N+]([O-])=O,13340,13340
CCCOc1nc(N)nc(C)c1[N+]([O-])=O,13342,13342
CCCCc1c(Cl)nc(N)nc1Cl,13344,13344
CCCc1c(Cl)nc(N)nc1Cl,13346,13346
CCc1c(Cl)nc(N)nc1Cl,13348,13348
CCOc1ccc(CN(C)C)cc1,13350,13350
O=C(OC[C@H]1O[C@H](C(OC(=O)c2ccccc2)C1OC(=O)c1ccccc1)n1ncc(=O)[nH]c1=O)c1ccccc1,13352,13352
CC(=O)OCC1O[C@H](C(OC(C)=O)C(OC(C)=O)[C@@H]1OC(C)=O)n1ncc(=O)[nH]c1=O,13354,13354
CC(=O)OC[C@H]1O[C@H](C(OC(C)=O)C1OC(C)=O)n1ncc(=O)n(Cc2ccccc2)c1=O,13356,13356
CCCCOc1ccc(CSC(N)=N)cc1C(=O)OC,13358,13358
C1CCCCC1.Cc1cc(=O)[nH]c(SCC2COCO2)n1,13360,299996932
